Name,Auto,Heating,Concentration,Batch,Sample,Trial,Thickness,Elastic Modulus,Yield Strength,Creep Strain,Plateau Slope,Densification Slope,Changepoint,Fit,Average Standard Deviation
Auto_noheating_10wt_5_1_3,True,False,10.0,5,1,3,149.0,85.61382612423714,27.587450098258252,,113.22220782339038,1500.7762685577507,0.6681152967568185,False,52.56128457088267
Auto_noheating_10wt_5_1_4,True,False,10.0,5,1,4,118.0,49.70053256467642,15.41614813091162,,62.57804193750825,1684.4401499083833,0.7129250962020154,False,52.56128457088267
Auto_noheating_17wt_5_1_1,True,False,17.0,5,1,1,107.0,159.5110270310293,12.727598965630817,,72.40532082840392,913.4286991758757,0.5899286978387231,True,48.59661303100573
Auto_noheating_17wt_5_1_2,True,False,17.0,5,1,2,106.0,166.82776622471962,13.389668255467647,,71.59174995603556,882.5832048691228,0.5779163302382475,True,48.59661303100573
Auto_noheating_17wt_5_1_3,True,False,17.0,5,1,3,101.0,152.4162876746757,12.813258039808117,,70.81180177799882,904.4116928718827,0.599379653348834,True,48.59661303100573
Auto_noheating_17wt_5_1_4,True,False,17.0,5,1,4,100.0,158.4732980458008,13.359852898900218,,69.62786021715738,896.5440121513674,0.6088712823926995,True,48.59661303100573
Auto_noheating_10wt_6_1_1,True,False,10.0,6,1,1,99.0,28.341613162827905,23.456411303570974,,101.86077606263963,2077.1245714049796,0.9927546529985397,False,58.42112637002608
Auto_noheating_10wt_6_1_2,True,False,10.0,6,1,2,86.0,18.019513624660487,15.43541874102339,,101.81542266818384,1963.1919599695375,1.1014970449680066,False,58.42112637002608
Auto_noheating_10wt_6_1_3,True,False,10.0,6,1,3,98.0,28.596639189906533,11.248465022469617,,26.826506628778066,1740.6313345797248,0.8760555851823232,True,58.42112637002608
Auto_noheating_10wt_6_1_4,True,False,10.0,6,1,4,120.0,65.45127929061299,21.670065921339848,,88.72209629596627,1497.0584515868336,0.6862482472907273,False,58.42112637002608
Auto_noheating_10wt_6_2_1,True,False,10.0,6,2,1,76.0,20.39014475813618,19.330040759125787,,325.4482831232676,1473.177453652119,1.04832971754541,False,45.605549050859395
Auto_noheating_10wt_6_2_2,True,False,10.0,6,2,2,76.0,20.465387455305514,12.669974726699209,,347.43832589102277,3456.5969075281023,0.8043607789703724,False,45.605549050859395
Auto_noheating_10wt_6_2_3,True,False,10.0,6,2,3,62.0,2.288299874212836,1.2058903951361413,,7.493363211486145,1383.8095317347118,1.1749784104661245,False,45.605549050859395
Auto_noheating_10wt_6_2_4,True,False,10.0,6,2,4,130.0,51.499140585790876,29.151116924856026,,59.93488467438637,1530.8238269595638,0.8853161745473759,True,45.605549050859395
Auto_noheating_10wt_6_2_5,True,False,10.0,6,2,5,156.0,103.28513502888869,41.72158044333686,,114.74401880861733,1785.6391246872302,0.6152130711148637,True,45.605549050859395
Auto_noheating_10wt_6_3_1,True,False,10.0,6,3,1,74.0,16.149198850297292,3.374130472528404,,20.919548555564717,1295.9825512235602,0.9363471879932478,False,54.439534345495964
Auto_noheating_10wt_6_3_2,True,False,10.0,6,3,2,76.0,17.91431994739379,8.257386177748977,,25.086813788648502,911.0414040139542,1.1353096594778493,False,54.439534345495964
Auto_noheating_10wt_6_3_3,True,False,10.0,6,3,3,121.0,60.23506521013105,3.8016900780177973,,67.10593535830269,1053.2321978304128,0.7359909880078219,True,54.439534345495964
Auto_noheating_10wt_6_3_4,True,False,10.0,6,3,4,119.0,70.16904131889554,6.508567125362182,,47.07243487167306,1039.0577243771254,0.6742168415746704,True,54.439534345495964
Auto_noheating_10wt_6_3_5,True,False,10.0,6,3,5,113.0,76.67510953888808,7.51875688347606,,46.83332070032367,1149.6416972277939,0.6208312404920195,True,54.439534345495964
Auto_heating_12_7_1_1,True,True,11.63,7,1,1,115.0,82.22925473727152,37.427054683072726,,66.23335705437562,1284.9564294260852,0.7164269908335839,True,50.26794977524388
Auto_heating_12_7_1_2,True,True,11.63,7,1,2,122.0,107.45856870265554,44.57707604521056,,51.86727730366469,1446.4887627948751,0.5663026338391182,True,50.26794977524388
Auto_heating_12_7_1_3,True,True,11.63,7,1,3,125.0,98.38526240206556,39.99372267163922,,51.60553431829297,1587.2317684662926,0.5287221583852253,True,50.26794977524388
Auto_heating_12_7_1_4,True,True,11.63,7,1,4,125.0,95.19038919808284,42.64190670074345,,18.90065833335943,1470.3065349843519,0.5929575701566412,False,50.26794977524388
Auto_heating_12_7_2_1,True,True,11.63,7,2,1,108.0,81.71050485589151,10.433926944644199,,63.71566819650846,1531.4235228061877,0.950248236297852,True,50.93126626346519
Auto_heating_12_7_2_2,True,True,11.63,7,2,2,112.0,92.74541445872165,49.29395052624436,,42.86589307495315,1394.2096266570038,0.6701490023872329,True,50.93126626346519
Auto_heating_12_7_2_3,True,True,11.63,7,2,3,116.0,103.5240480602332,44.205473786389184,,77.82630094100276,1601.291790608673,0.5290666125560609,True,50.93126626346519
Auto_heating_12_7_2_4,True,True,11.63,7,2,4,115.0,86.01487100692822,34.527157287882915,,59.234676125930925,1698.2641291675718,0.5095520130072524,True,50.93126626346519
Auto_heating_12_8_1_1,True,True,11.63,8,1,1,100.0,63.37943407088323,8.128708220493838,,31.91465906395396,1374.1307963562674,0.9650410065062496,True,54.123007154527585
Auto_heating_12_8_1_3,True,True,11.63,8,1,3,110.0,68.72744971368179,26.20237093915811,,58.12967446912878,1505.1676036138945,0.6200713846463529,True,54.123007154527585
